year,baseline_forecast,optimistic,pessimistic,lower_ci,upper_ci
2025,54.24137931034511,56.24137931034511,52.24137931034511,51.24137931034511,57.24137931034511
2026,56.94827586206884,58.94827586206884,54.94827586206884,53.94827586206884,59.94827586206884
2027,59.65517241379348,61.65517241379348,57.65517241379348,56.65517241379348,62.65517241379348
